,主旨,原因,不合格原因暨檢出量詳細說明,法規限量標準,seg
2007,京都抹茶加靜岡茶(JN SHIZUOKA GREEN TEA),農藥殘留含量不符規定,檢出殘留農藥矽護芬0.08 ppm、氟大滅1.4 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['ppm', '檢出', '殘留', '農藥', '矽護芬', '0.08', '氟大滅', '1.4']"
2008,玄米茶包50袋(JN BROWN RICE TEA (TEA BAG)),農藥殘留含量不符規定,檢出殘留農藥氟大滅0.35 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '氟大滅', '0.35', 'ppm']"
2009,宇治抹茶加玄米茶(JN BROWN RICE TEA),農藥殘留含量不符規定,檢出殘留農藥氟大滅0.6 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '氟大滅', '0.6', 'ppm']"
2010,鮮蚵肉(FRESH OYSTER MEAT),重金屬含量不符規定,檢出鎘2 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為1 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', 'mg', 'kg']"
2011,鮮蜜柑(FRESH SATSUMA ORANGE),農藥殘留含量不符規定,檢出殘留農藥得克利0.05 ppm,依據「農藥殘留容許量標準」，農藥得克利定量極限為 0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '0.05', 'ppm', '克利']"
2012,乾鹿茸菇(DRIED ANTLER MUSHROOM),農藥殘留含量不符規定,檢出殘留農藥撲滅寧0.07 ppm,依據「農藥殘留容許量標準」，農藥撲滅寧定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '滅寧', '0.07', 'ppm']"
2013,PAJARITO瑪黛茶茶包(YERBA MATE IN TEA BAGS PAJARITO OF 60G),農藥殘留含量不符規定,檢出殘留農藥益達胺0.58 ppm、賽速安0.15 ppm、得福隆0.33 ppm、畢芬寧0.06 ppm及賽洛寧0.23 ppm,依據「農藥殘留容許量標準」，農藥益達胺、賽速安、得福隆、畢芬寧、賽洛寧定量極限均為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '福隆', '檢出', '殘留', '農藥益', '達胺', '0.58', '賽速安', '0.15', '0.33', '畢芬寧', '0.06', '及賽', '洛寧', '0.23']"
2014,羅勒(BASIL),農藥殘留含量不符規定,檢出殘留農藥達滅芬3 ppm,依據「農藥殘留容許量標準」，農藥達滅芬容許量為2.5 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥達', '滅芬', 'ppm']"
2015,牛肝菌菇(乾燥)(DRIED PORCINI MUSRSHOOMS),農藥殘留含量不符規定,檢出殘留農藥協力精0.16 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '協力', '0.16', 'ppm']"
2016,薄荷綠茶包(MINT GREEN TEA),農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.08 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.08', 'ppm']"
2017,馬鈴薯(Potatoes),農藥殘留含量不符規定,檢出殘留農藥賓克隆0.03 ppm,依據「農藥殘留容許量標準」，農藥賓克隆定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥賓', '0.03', 'ppm', '克隆']"
2018,紅茶包(TEH CAP POCI ASLI),農藥殘留含量不符規定,"檢出殘留農藥 2,6-Diisopropylnaphthalene (2,6-DIPN) 0.08 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.08', 'ppm']"
2019,棕荳蔻(BROWN CARDAMOM),農藥殘留含量不符規定,檢出殘留農藥2-Phenyphenol 0.18 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Phenyphenol', '0.18', 'ppm']"
2020,紫蘇葉(PERILLA FRUTESCENS),農藥殘留含量不符規定,檢出殘留農藥芬普尼0.003 ppm、待克利0.02 ppm、得克利0.04 ppm、益達胺2.8 ppm及賽安勃0.02 ppm,依據「農藥殘留容許量標準」，農藥芬普尼定量極限為0.001 ppm、待克利及得克利定量極限皆為0.01 ppm、益達胺容許量為1.0 ppm、賽安勃為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '0.02', '克利', '檢出', '殘留', '農藥芬', '普尼', '0.003', '0.04', '益達胺', '2.8', '及賽', '安勃']"
2021,冷凍芋頭(FROZEN TARO),農藥殘留含量不符規定,檢出殘留農藥巴克素0.02 ppm,依據「農藥殘留容許量標準」，農藥巴克素定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '0.02', 'ppm', '巴克']"
2022,飯勺(飯勺),容器具-溶出試驗不符規定,"案內產品以4%醋酸(60℃,30分鐘)溶出試驗結果，蒸發殘渣值為94 ppm","依據「食品器具容器包裝衛生標準」，以聚丙烯為合成原料之塑膠類，其溶出試驗4%醋酸(60℃,30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['案內產品', '4%', '60', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '94', 'ppm', '醋酸']"
2023,DORAEMON豪華餐具禮盒組(499171 (4973655 99171 8) DORAEMON BABY FEEDING SET),容器具-溶出試驗不符規定,"案內產品以正庚烷(25℃,1小時)溶出試驗結果，蒸發殘渣值為45 ppm","依據「食品器具容器包裝衛生標準」，以聚丙烯為合成原料之塑膠類，其溶出試驗正庚烷(25℃,1小時)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['庚烷', '案內產品', '25', '小時', '溶出', '試驗', '結果', '蒸發', '殘渣值', '45', 'ppm']"
2024,(丸久小山園 宇治抹茶 特選綠茶粉)(C7312 GREEN TEA POWDER ),農藥殘留含量不符規定,檢出殘留農藥氟大滅0.89 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '氟大滅', '0.89', 'ppm']"
2025,"牛肝菌(Dry Porcini)(PORCINI-DIRED-EXTRA TUB, 500G)",農藥殘留含量不符規定,檢出殘留農藥安丹0.12 ppm,依據「農藥殘留容許量標準」，農藥安丹定量極限為 0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥安丹', '0.12', 'ppm']"
2026,鮮哈密瓜(FRESH MELON),農藥殘留含量不符規定,檢出殘留農藥Nitenpyram 0.04 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Nitenpyram', '0.04', 'ppm']"
2027,鮮蜜瓜(高知)(FRESH MELON),農藥殘留含量不符規定,檢出殘留農藥依普同0.07 ppm,依據「農藥殘留容許量標準」，農藥依普同定量極限為 0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '依普同', '0.07', 'ppm']"
2028,Hug超防漏學習水杯- 夜幕藍(MOTHER-K Hug Weighted Straw Cup Navy),容器具-溶出試驗不符規定,"案內產品以正庚烷(25℃,1小時)溶出試驗結果，蒸發殘渣值為42 ppm","依據「食品器具容器包裝衛生標準」，以聚丙烯為合成原料之塑膠類，其溶出試驗正庚烷(25℃,1小時)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['庚烷', '案內產品', '25', '小時', '溶出', '試驗', '結果', '蒸發', '殘渣值', '42', 'ppm']"
2029,鮮草莓(FRESH STRAWBERRY),農藥殘留含量不符規定,檢出殘留農藥賽安勃0.04 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '賽安勃', '0.04', 'ppm']"
2030,米桶,容器具-溶出試驗不符規定,案內產品以(4%醋酸溶液/攝氏95℃30分鐘)溶出試驗結果，檢測本體2個部位，分別檢出蒸發殘渣量168 ppm及89 ppm,依據「食品器具容器包裝衛生標準」，原材料(聚丙烯)其溶出試驗(4%醋酸溶液/攝氏95℃30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['ppm', '案內產品', '4%', '攝氏', '95', '30', '分鐘', '溶出', '試驗', '結果', '檢測', '本體', '分別', '檢出', '蒸發', '殘渣量', '168', '89', '醋酸', '溶液', '部位']"
2031,鮮芹菜,農藥殘留含量不符規定,檢出殘留農藥除蟲菊精0.01 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '除蟲菊精', '0.01', 'ppm']"
2032,NOi 山葵味蠶豆 - 分享包,防腐劑含量不符規定,檢出防腐劑苯甲酸0.04 g/kg，依業者說明文件苯甲酸為成分中「醬油」帶入，另依成分比例表及製程等文件經換算醬油含苯甲酸含量為1.2 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，醬油防腐劑用量以Benzoic Acid計為1.0 g/kg以下，本案不符合食品安全衛生管理法第18條規定。,"['苯甲酸', 'kg', '成分', '文件', '檢出', '0.04', '依業者', '說明', '醬油', '帶入', '另依', '比例表', '經換', '算醬', '油含', '1.2', '防腐', '含量']"
2033,甜餅乾,防腐劑含量不符規定,檢出防腐劑去水醋酸0.12 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.12', 'kg', '防腐', '醋酸']"
2034,玫瑰花瓣,含非法定著色劑 & 農藥殘留含量不符規定,(1)檢出殘留農藥祿芬隆0.07 ppm(2)檢出蘇丹色素1號14 ppb,(1)依據「農藥殘留容許量標準」，農藥祿芬隆定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。(2)依據「食品添加物使用範圍及限量暨規格標準」，蘇丹色素1號為非准用之添加物，本案不符合食品安全衛生管理法第15條第1項第10款規定。,"['檢出', '殘留', '農藥祿', '芬隆', '0.07', 'ppm', '蘇丹', '14', 'ppb', '色素']"
2035,冷凍黑皮旗魚,重金屬含量不符規定,檢出重金屬鎘0.14 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘(其他魚類)限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '屬鎘', '0.14', 'mg', 'kg', '重金']"
2036,木鱉果油,含污染物質及毒素不符規定,檢出苯(a)駢芘 55.1 µg/kg,依據「食品中污染物質及毒素衛生標準」，直接供食或作為食品加工使用之油脂苯(a)駢芘限量為 2.0 µg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '駢芘', '55.1', 'kg']"
2037,薄荷,農藥殘留含量不符規定,檢出殘留農藥達滅芬0.08 ppm、依普同0.20 ppm及克收欣0.11 ppm,依據「農藥殘留容許量標準」，農藥達滅芬、依普同及克收欣定量極限均為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥達', '滅芬', '0.08', '依普同', '0.20', '及克', '收欣', '0.11']"
2038,薄荷,農藥殘留含量不符規定,檢出殘留農藥貝芬替0.19 ppm、陶斯松0.11 ppm,依據「農藥殘留容許量標準」，農藥貝芬替、陶斯松定量極限均為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '貝芬', '0.19', '陶斯松', '0.11']"
2039,鮮人蔘,農藥殘留含量不符規定,檢出殘留農藥白克列0.06 ppm、普克利0.04 ppm、五氯硝苯0.02 ppm及得克利0.02 ppm,依據「農藥殘留容許量標準」，農藥白克列、普克利、得克利定量極限皆為0.01 ppm、五氯硝苯為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '0.02', '克利', '檢出', '殘留', '農藥', '白克列', '0.06', '0.04', '五氯硝苯']"
2040,鮮蘋果,農藥殘留含量不符規定,"檢出殘留農藥2,6-DIPN 0.13 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'DIPN', '0.13', 'ppm']"
2041,高麗麵-海鮮味,農藥殘留含量不符規定,案內產品配料包檢出殘留農藥環氧乙烷(Ethylene Oxide)0.104 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['案內產品', '包檢出', '殘留', '農藥', '環氧', 'Ethylene', 'Oxide', '0.104', 'ppm', '乙烷', '配料']"
2042,MIE SEDAAP杯麵-牛肉味湯麵,農藥殘留含量不符規定,案內產品之配料包檢出殘留農藥ethylene oxide 147.025 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['案內產品', '包檢出', '殘留', '農藥', 'ethylene', 'oxide', '147.025', 'ppm', '配料']"
2043,MIE SEDAAP杯麵-雞肉味湯麵,農藥殘留含量不符規定,案內產品之配料包檢出殘留農藥ethylene oxide 116.292 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['案內產品', '包檢出', '殘留', '農藥', 'ethylene', 'oxide', '116.292', 'ppm', '配料']"
2044,MIE SEDAAP杯麵-韓式辣雞味炒麵,農藥殘留含量不符規定,案內產品之配料包分別檢出殘留農藥ethylene oxide 165.352 ppm、3.847 ppm及157.598 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['ppm', '案內產品', '包分別', '檢出', '殘留', '農藥', 'ethylene', 'oxide', '165.352', '3.847', '157.598', '配料']"
2045,MIE SEDAAP 韓式辣味湯麵,農藥殘留含量不符規定,案內產品之配料包分別檢出殘留農藥ethylene oxide 0.072 ppm、195.476 ppm及199.057 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['ppm', '案內產品', '包分別', '檢出', '殘留', '農藥', 'ethylene', 'oxide', '0.072', '195.476', '199.057', '配料']"
2046,韓國新鮮人蔘,農藥殘留含量不符規定,檢出殘留農藥百克敏0.02 ppm、扶吉胺0.01 ppm、得克利0.04 ppm、賽氟滅0.09 ppm、脫克松0.1 ppm,依據「農藥殘留容許量標準」，農藥百克敏、得克利定量極限皆為0.01 ppm，扶吉胺、賽氟滅、脫克松為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '0.02', '扶吉胺', '0.01', '0.04', '賽氟滅', '0.09', '脫克松', '0.1', '百克', '克利']"
2047,北蟲草,農藥殘留含量不符規定,檢出殘留農藥克美素1.05 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥克美素', '1.05', 'ppm']"
2048,乾猴頭菇,農藥殘留含量不符規定,檢出殘留農藥克美素0.27 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥克美素', '0.27', 'ppm']"
2049,小豬碗麵-鹽味,農藥殘留含量不符規定,案內產品之配料包檢出殘留農藥ethylene oxide 33.763 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['案內產品', '包檢出', '殘留', '農藥', 'ethylene', 'oxide', '33.763', 'ppm', '配料']"
2050,AGF抹茶歐蕾(沖泡冰牛奶用),農藥殘留含量不符規定,檢出殘留農藥剋安勃0.08 ppm,依據「農藥殘留容許量標準」，農藥剋安勃定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '安勃', '0.08', 'ppm']"
2051,MIE SEDAAP酸辣風味麵,農藥殘留含量不符規定,案內產品之辣椒粉包(cabe/chili)檢出殘留農藥ethylene oxide 185 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['辣椒粉', '案內產品', 'cabe', 'chili', '檢出', '殘留', '農藥', 'ethylene', 'oxide', '185', 'ppm']"
2052,素泰式酸辣海鮮湯即煮醬,防腐劑含量不符規定,檢出防腐劑苯甲酸0.16 g/kg,依業者檢附文件說明其來源為chili，依據「食品添加物使用範圍及限量暨規格標準」規定，辣椒非表列准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.16', 'kg', '苯甲酸', '防腐']"
2053,大容量運動水壺 (黑紅色),容器具-溶出試驗不符規定,"案內產品以正庚烷(25℃,1小時)溶出試驗結果，蒸發殘渣值31 ppm","依據「食品器具容器包裝衛生標準」，以聚乳酸為原料之塑膠類，其溶出試驗正庚烷(25℃,1小時)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['庚烷', '案內產品', '25', '小時', '溶出', '試驗', '結果', '蒸發', '殘渣值', '31', 'ppm']"
2054,速食麵,農藥殘留含量不符規定,案內產品檢出殘留農藥ethylene oxide 0.692 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['案內產品', '檢出', '殘留', '農藥', 'ethylene', 'oxide', '0.692', 'ppm']"
2055,JOLLY動物水杯,容器具-溶出試驗不符規定,案內產品以正庚烷(25℃，1小時) 溶出試驗結果，蒸發殘渣36 ppm,依據「食品器具容器包裝衛生標準」，以聚丙烯為原料之塑膠類，其溶出試驗正庚烷(25℃，1小時)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['庚烷', '案內產品', '25', '小時', '溶出', '試驗', '結果', '蒸發', '殘渣', '36', 'ppm']"
